This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202208 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME, BEME, and OP.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. OP is operating profits (sales - cost
of goods sold - selling, general and administrative expenses - interest expense) divided by book
at the last fiscal year end of the prior calendar year.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

Please be aware that some of the value-weight averages of operating profitability for
deciles 1 and 10 are extreme. These are driven by extraordinary values of OP for
individual firms. We have spot checked the accounting data that produce the
extraordinary values and all the numbers we examined accurately reflect the
data in the firm’s accounting statements.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoBM LoOP,ME1 BM1 OP2,ME1 BM1 OP3,SMALL LoBM HiOP,ME1 BM2 OP1,ME1 BM2 OP2,ME1 BM2 OP3,ME1 BM2 OP4,ME1 BM3 OP1,ME1 BM3 OP2,ME1 BM3 OP3,ME1 BM3 OP4,SMALL HiBM LoOP,ME1 BM4 OP2,ME1 BM4 OP3,SMALL HiBM HiOP,BIG LoBM LoOP,ME2 BM1 OP2,ME2 BM1 OP3,BIG LoBM HiOP,ME2 BM2 OP1,ME2 BM2 OP2,ME2 BM2 OP3,ME2 BM2 OP4,ME2 BM3 OP1,ME2 BM3 OP2,ME2 BM3 OP3,ME2 BM3 OP4,BIG HiBM LoOP,ME2 BM4 OP2,ME2 BM4 OP3,BIG HiBM HiOP
196504,   2.8498,   1.5933,   4.3377,   3.4518,   2.5273,   5.5010,   5.0475,   3.7416,   5.4899,   1.9359,   5.6855,   1.4188,   6.7633,   4.5718,   7.8900,  10.2370,   5.5814,   7.5100,   2.9176,   5.1519,   1.9067,   1.8712,   1.7203,   1.3622,   2.4210,   3.6944,   3.7106,   2.8862,   2.7689,   4.2754,   5.7814,   1.3043
196505,  -2.3589,  -1.3087,  -0.9501,   0.3416,   1.1278,   1.1719,  -0.6800,  -1.5451,  -2.0463,   2.1937,  -2.0745,  -2.0241,  -1.2431,  -2.6242,   3.7450,   3.0740,  -7.4890,  -0.9707,  -0.9692,  -1.2000,  -1.2281,   0.6758,  -1.0439,  -0.4794,   0.5363,  -1.2283,  -2.6138,  -0.0822,  -0.3422,  -2.0288,  -5.5902,  -5.5794
196506, -13.4694, -11.0749, -10.3991,  -9.9335, -10.8518,  -8.9573,  -8.3185,  -8.7969,  -9.5311,  -9.2366,  -8.6331,  -9.3110, -10.0135,  -8.6275,  -7.9936, -14.1266, -11.4286,  -4.1604,  -5.1841,  -5.2466,  -2.0708,  -3.2613,  -4.5135,  -4.3739,  -5.4915,  -5.9275,  -6.7795,  -8.8472,  -5.2727,  -5.9167,  -6.5744,  -3.6364
196507,   1.3760,   4.0109,   3.4089,   2.0031,   5.4091,   3.5686,   2.7809,   2.3134,   3.7658,   2.1813,   3.8454,   3.4788,   2.2456,   5.1408,   8.0582,  15.0723,   3.1025,   1.0329,   0.2545,   1.8678,   3.7928,   0.2035,  -0.2255,   0.6530,   2.0130,  -0.0836,   3.4656,   5.1348,   4.2108,   3.3501,   1.9102,   8.0230
196508,   3.1312,   6.2668,   5.1428,   6.0892,   7.5153,   5.6436,   3.2557,   6.0758,   6.8111,   5.3853,   5.0096,   1.8931,   4.0087,   0.7991,   2.9604,   4.3392,  -1.6155,   1.9352,   0.9096,   3.9646,   1.6143,  -0.1538,   2.3626,   7.3616,   3.3842,   1.0822,   3.7966,   5.0932,   1.2721,   1.5236,   1.5603,   3.0755
196509,   1.4541,   9.0648,   6.1378,   3.4410,   3.2774,   4.6419,   3.8546,   2.4929,   6.5625,   5.4464,   3.4447,   2.5970,   4.2859,   2.4800,   6.7539,  31.8889,   7.3239,   4.1845,   1.4356,   4.1839,   2.0094,   3.2917,   2.1811,   1.5659,   2.2472,   0.5125,   3.3182,   8.8773,   3.9889,   1.8944,   5.4098,   2.1965
196510,  10.3642,   8.7732,   5.5791,   6.1370,   6.4646,   3.4606,   4.5877,   7.8358,   7.9245,   6.9013,   6.1579,   8.5418,   5.2818,   8.3076,   4.3760,   9.7212,  -1.2665,  -0.1519,   1.8271,   4.6086,  -1.3760,   1.3762,   1.4312,   5.4147,   2.9762,  -0.8929,   3.9692,   9.2939,   4.2610,   4.5323,   5.8506,   0.7254
196511,   6.6103,   4.9585,   3.4628,   4.3541,   3.1043,   7.7978,   4.3236,   5.0007,  10.8415,   4.1699,   4.2425,   6.3777,   2.9734,   6.5473,   1.1378,  10.0692,  -1.9510,  -0.8106,   0.5892,  -1.0037,   0.2010,  -0.4573,  -0.7884,   0.8092,   0.3071,  -4.3992,   4.2189,  12.6756,  -0.5566,  -0.7084,  -3.2178,   1.6421
196512,  12.0908,   2.2241,   3.8737,   3.0971,   3.6912,   1.2288,   1.8860,   4.3030,   1.4322,   1.8360,   6.2746,   5.3586,   6.5722,   4.7159,   8.6704,  -2.4789,   2.0369,   2.7495,   1.3478,   0.4798,  -1.2985,  -0.0088,   0.3606,   0.4540,   1.6554,  -0.3650,  -0.6661,  -1.1917,   2.1637,   4.7330,   4.7574,  -0.0753
196601,  10.7269,  10.9339,   5.1060,   3.8832,  11.1426,   5.5368,   3.7310,   6.1735,   5.7668,   6.4793,   5.3541,   4.9972,   8.3426,   7.5188,  -2.3441,   1.6237,   2.7201,  -5.4632,  -2.2744,   0.8580,   1.9002,  -0.9019,  -0.8633,   4.2400,   0.3627,  -0.9913,   6.3390,   7.9817,   5.4645,   3.1643,  -0.8816,   5.0103
